340365	nob	Hva?
341131	nob	Jeg snakker ikke japansk.
341132	nob	Hva koster det?
341133	nob	Jeg forstår ikke.
341134	nob	Det er ikke viktig.
341137	nob	Det regner.
341139	nob	Det er kaldt.
341217	nob	Hva er det?
341219	nob	Jeg vet ikke men jeg har tid før det.
342049	nob	Alle mennesker er født frie og med samme menneskeverd og menneskerettigheter. De er utstyrt med fornuft og samvittighet og bør handle mot hverandre i brorskapets ånd.
342063	nob	Hva består aspirin av?
342064	nob	Slutt å spørre meg om en drink! Gå og hent en selv.
342065	nob	Hva ville verden vært uten kvinner?
342182	nob	Du må ikke snakke så høyt her.
342183	nob	Det er for mørkt til at jeg kan lese.
342184	nob	Du må ikke parkere bilen i denne gaten.
342185	nob	Jeg liker måten du går på.
342186	nob	John og Mary har kjent hverandre siden 1976.
342206	nob	Nancy, her er et brev til deg.
342207	nob	Ta den du liker best, samme hvilken det er.
342208	nob	Hvilke filmer går nå?
342209	nob	Ikke gå så fort! Jeg klarer ikke å holde følge med deg.
342210	nob	Jeg er i et fryktelig dilemma.
342211	nob	Hvem skrev denne boken? John.
342212	nob	Få mennesker lever til de er hundre.
342213	nob	Du kan ikke få god karakter uten å jobbe hardt.
342214	nob	Tom snakker spansk, og Betty snakker også spansk.
342215	nob	Si til henne hvilken hun skal ta.
342216	nob	Men hvordan kan de gjøre dette?
342217	nob	Jeg gjør alt du ber meg om.
342218	nob	Du er dum.
342219	nob	Ordboken inneholder cirka en halv million ord.
342220	nob	Har du noen gang vært i Mexico?
342221	nob	Dette tv-programmet er faktisk ganske interessant.
342222	nob	Jeg er bekymret for eksamensresultatet.
342223	nob	'A' kommer før 'B' i alfabetet.
342224	nob	Det er virkelig et problem.
342225	nob	Hvem står der?
342226	nob	Det står en bil foran bygningen.
342227	nob	Det er på tide at du begynner å vaske bordet.
342228	nob	"Brann" ropte han.
342229	nob	Sakuras måte å snakke på går meg på nervene.
342230	nob	Disse to brødrene ligner på hverandre.
342231	nob	Om bare legen hadde kommet litt fortere.
342232	nob	Det er imot mine prinsipper.
342233	nob	Det beste er å be en ekspert om å reparere den.
342234	nob	Denne brosjyren er gratis.
342235	nob	Jeg må finne ut nøyaktig hva som gikk galt.
342236	nob	Skal vi snakke om det over en kopp kaffe?
342237	nob	Hvorfor ringte du meg ikke i går kveld?
342238	nob	Jeg tror ikke det blir regn, men jeg tar en paraply i tilfelle.
342239	nob	Jeg ble kjent med ham da jeg var student.
342240	nob	Kan du spille gitar?
342241	nob	Ditt arbeid er langt fra tilfredsstillende.
342242	nob	Banken åpner klokken 9 og stenger klokken 15.
342243	nob	Jeg vil heller gå enn å vente på en buss.
342244	nob	Vær snill å sende meg saltet.
342245	nob	Jeg liker ikke å lage mat når det er varmt ute.
342246	nob	Det skjeve tårn i Pisa er høyere enn kirken.
342247	nob	Jeg er enig.
342248	nob	Jeg underviser.
342250	nob	Jeg har vondt i hodet.
342252	nob	Du er en engel!
342256	nob	Jeg vil vite hvem som blir med oss.
342257	nob	Det er ikke min skyld!
342258	nob	Denne gitaren er så dyr at jeg ikke kan kjøpe den.
342262	nob	Ses vi i morgen?
342267	nob	Jeg er tørst.
342268	nob	Du har rett.
342269	nob	Du er min type.
342270	nob	Du er uimotståelig.
342271	nob	Hvem snakker jeg med?
342272	nob	I en alder av seks hadde han lært å bruke skrivemaskin, og sa til læreren at han ikke trengte å lære å skrive for hånd.
342273	nob	Kan jeg få snakke med Bill?
342379	nob	Jeg ringer deg en annen gang.
342380	nob	Begge brødrene er musikere.
342381	nob	Hva er dette? Spurte Tony.
342382	nob	Ken sluttet å snakke og begynte å spise.
342383	nob	Lommekalkulatorer er like billige å kjøpe som et par sokker, og like viktig for tusener av britiske skolebarn som blyant og viskelær.
342384	nob	Hvor enn du går, vil du aldri finne et bedre sted enn ditt eget hjem.
342385	nob	Han fortsatte å gå i to timer.
342386	nob	Det er ingenting jeg liker så godt som å se baseballkamper på tv.
342387	nob	Han møtte sin venn mens han badet i sjøen.
342388	nob	Hun røyker 20 sigaretter om dagen.
342389	nob	Jeg var dårlig i engelsk.
342390	nob	Jeg er trøtt.
342391	nob	Han har lite penger med seg.
342392	nob	Jo eldre du er, desto vanskeligere er det å lære et språk.
342393	nob	Hver gang jeg prøvde, feilet jeg.
342394	nob	I Japan er det ikke vanlig å gi tips for god service.
342395	nob	Det er veldig vanskelig å vite hvilket land en person kommer fra.
342396	nob	Hva med 12:45?
342397	nob	Idrett har gjort ham til den han er.
342398	nob	Jeg er ikke ferdig med leksene ennå.
342399	nob	Du får ikke komme inn.
342400	nob	Hun ble gift i en alder av søtten.
342401	nob	Han er ikke lærer, men lege.
342402	nob	Du må lese mellom linjene.
342403	nob	Jeg hadde bare såvidt spist ferdig når min venn ringte meg og inviterte meg ut på middag.
342404	nob	Han ble tvunget til å signere kontrakten mot sin vilje.
342405	nob	"Jeg skulle bare ønske jeg kunne være med deg for evig og alltid", svarte den lille svarte kaninen.
342406	nob	Denne heisen kan ta 10 personer om gangen.
342407	nob	Jeg sto opp klokken fem den morgenen.
342408	nob	Hennes sønn døde av kreft allerede som barn.
342409	nob	Han har vært død i tre år.
342410	nob	Folk sier at han aldri dør.
342411	nob	Han sluttet å røyke i fjor.
342412	nob	Mor er mer nervøs for eksamensresultatet enn jeg er.
342413	nob	På dødsleiet ba han meg om å fortsette å skrive til deg.
342414	nob	Kan jeg låne pennen din?
342415	nob	Han er ikke det minste interessert i hva som skjer i verden.
342416	nob	Det som ser lett ut ved første øyekast viser seg å være vanskelig.
342417	nob	Jeg tror det kommer til å bli en fin dag.
342418	nob	Jeg var på nippet til å gi opp da jeg plutselig fant løsningen.
342419	nob	Det pleide å være en stor park her.
342420	nob	Hønene våre la mange egg i går.
342421	nob	Jeg inviterte Jane på middag.
342422	nob	Gi meg litt vann, og vær rask.
342423	nob	Far kjøpte boken til meg.
342424	nob	Ikke ta det personlig.
342425	nob	Han har lite erfaring i å undervise.
342426	nob	Katteøyne er veldig følsomme for lys.
342427	nob	Hun går sjelden ut.
342428	nob	Hun har ingen brødre.
342429	nob	Små barn er redde for å bli forlatt i mørket.
342439	nob	Er du sikker?
342440	nob	Hvor mye er klokka?
342442	nob	Han er sporløst forsvunnet.
342443	nob	Tilkall politiet!
342446	nob	Hva gjør du?
342447	nob	Tur-retur? Bare en vei.
342453	nob	For godt til å være sant.
342459	nob	Roma ble ikke bygd på en dag.
342488	nob	Han reiste seg og trakk pusten dypt.
342489	nob	Du er gammel nok til å ta vare på deg selv.
342490	nob	Byen min er ikke som den pleide å være.
342491	nob	Jeg lurer på om han egentlig er syk?
342492	nob	Roser blomstrer om våren.
342493	nob	India er verdens sjuende største land.
342494	nob	Gutten kom løpende.
342495	nob	Dette brevet kom mens du var ute.
342496	nob	La oss sette oss på den benken.
342497	nob	Jeg er ikke vant til å drikke kaffe uten sukker.
342498	nob	Det er en fordel å kunne bruke en datamaskin.
342499	nob	Læreren så over eksamenspapirene.
342500	nob	Se fotnoten på side 5.
342501	nob	Muiriel er 20 nå.
342502	nob	Passordet er "Muiriel".
342503	nob	Jeg er straks tilbake.
342504	nob	Jeg vet ikke.
342505	nob	Jeg var på fjellet.
342506	nob	Jeg tjener 100 euro om dagen.
342507	nob	Jeg savner deg.
342508	nob	Jeg ringer dem i morgen når jeg kommer hjem.
342509	nob	Jeg likte aldri biologi.
342510	nob	Det overrasker meg ikke.
342511	nob	Når jeg blir stor vil jeg bli konge.
342512	nob	Hva så?
342529	nob	Vi har nesten sluppet opp for penger.
342530	nob	Alle kjenner loven.
342531	nob	Jeg var så varm at jeg tok av meg frakken.
342532	nob	Klokka seks passer meg veldig bra.
342534	nob	Til min overraskelse avslo han tilbudet.
342535	nob	Navnene deres er Tom og Ken.
342536	nob	De spiser frokost klokken åtte denne uken.
342538	nob	Jeg lurer på hvor han er nå.
342539	nob	Bare bli stående.
342541	nob	Mannen oppførte seg veldig merkelig.
342543	nob	Haruki har ikke mye penger med seg.
342544	nob	De møtes en gang i uka.
342545	nob	Læreren var veldig rettferdig da hun satte eksamenskarakterene.
342546	nob	Hvem ville tatt vare på barna mine om jeg døde?
342547	nob	La oss gå hjem.
342549	nob	Han er alltid oppmerksom på sine barns oppførsel.
342550	nob	Vil du ha noe å spise?
342551	nob	Siden han var så trøtt, sovnet han fort.
342553	nob	Tåken har lettet.
342554	nob	Gutten samlet en håndfull peanøtter og puttet dem i en liten boks.
342556	nob	Han mente ikke å såre deg.
342558	nob	Linjen har vært opptatt i 30 minutter nå.
342559	nob	Du skulle holdt det hemmelig.
342563	nob	Hans barnslige latter er sjarmerende.
342564	nob	Han jobbet så hardt at han ødela helsen sin.
342565	nob	Prisene har gått ned.
342567	nob	Jeg er veldig glad for å se deg igjen.
342568	nob	Du må være forberedt på det verste.
342570	nob	Hvis du virkelig var interessert i hva jeg sier ville du ikke stirret ut av vinduet.
342573	nob	Spiller du et musikkinstrument?
342579	nob	Jeg har allerede vært i Amerika.
342582	nob	Nara er en by jeg liker veldig godt.
342585	nob	Fem tusen dollar er mye penger.
342589	nob	Jeg er fra Tokyo, Japan.
342591	nob	Det er viktig å prøve å komme overens med folk fra andre land.
342595	nob	Det virker som om læreren var skuffet.
342596	nob	Ikke alle studentene var tilstede.
342597	nob	Jeg er ikke så god i engelsk ennå.
342603	nob	Jeg åpnet en konto i min datters navn.
342605	nob	Det er ulovlig å kopiere fra bøker uten forfatterens tillatelse.
342606	nob	Tokyo er en av de største byene.
342608	nob	Folk flest tror datamaskiner aldri vil bli i stand til å tenke.
342609	nob	Hvorfor har du utsatt å gå til tannlegen?
342610	nob	Han er alt annet enn ærlig.
342616	nob	Skolen ligner et fengsel.
342617	nob	Jeg kan ikke bruke denne maskinen.
342625	nob	Hva vil du ha til lunsj?
342767	nob	Jeg heter Jack.
344003	nob	Jeg blir ferdig med denne romanen til du kommer i morgen.
344004	nob	Din mor må ha vært vakker som ung.
344005	nob	Hva gjør du for å få tiden til å gå?
344006	nob	Han lurer på om du er redd for slanger.
344007	nob	Jeg kan ikke ta imot denne gaven.
344008	nob	Det er ikke langt unna hotellet.
344009	nob	Det er mange ting vi må tenke på.
344010	nob	Jeg har aldri sett en så stor hval.
344011	nob	Noe er galt med denne vaskemaskinen.
344012	nob	Du trenger ikke å bruke ordbok når du leser denne boken.
344013	nob	Jeg forstår ikke tysk.
344170	nob	"Jeg er ikke så flink til å svømme." "Ikke jeg heller."
